Sentence,ORG1,ORG2,ORG3,ORG4,ORG5
根据部队工程建设需要，现公开询价选取招标代理，相关情况明确如下：一、咨询人。中国人民解放军73630部队,中国人民解放军73630部队,,,,
二、服务内容。中国人民解放军73630部队“6676”二期工程、DJS新建办公楼工程、MW-DZS二期工程等3个项目的勘探、设计、施工等环节的招标代理服务。以上项目总投资约2400万元。,中国人民解放军73630部队,,,,
1、本项目的开标时间为2018年4月13日15：00。在此时间之前，投标人必须提交纸制版投标文件至中国人民解放军73630部队指定人处。,中国人民解放军73630部队,,,,
1、咨询人单位：中国人民解放军73630部队,中国人民解放军73630部队,,,,
成都市中西医结合医院零星导视系统设计、制作、安装比选公告,成都市中西医结合医院,,,,
1.比选人：成都市中西医结合医院,成都市中西医结合医院,,,,
成都市中西医结合医院,成都市中西医结合医院,,,,
中铁六局北京铁建公司九景衢采购塑料波纹管、注浆管,中铁六局北京铁建公司,,,,
受委托我公司定于2018年4月13日（星期五）上午10时，在中国拍卖行业协会中拍新平台（https://paimai.caa123.org.cn/）公开拍卖如下标的：一、粤EQJ111、粤EQJ128小型轿车二辆、粤EQJ211、粤EQJ311轻型普通货车二辆整体拍卖[详见粤海资评字（2018）第044号]评估报告书。起拍价39130元（保证金10000元）；,中国拍卖行业协会,,,,
通知强调，全区各级纪检监察机关和纪检监察干部要提高政治站位，牢固树立“四个意识”，认真落实党的十九大、十九届中央纪委二次全会关于作风建设的部署要求，继续在常和长、严和实、深和细上下功夫，加大节日期间纠治“四风”力度，锲而不舍推动中央八项规定精神落实，在新时代展现作风建设新气象新作为。,中央纪委,,,,
中铁六局北京铁建公司九景衢采购锚具,中铁六局北京铁建公司,,,,
根据吉林市昌邑区财政局政府采购管理工作办公室采购计划，吉林省万力工程项目管理有限公司受业主吉林市昌邑区结核病防治所委托对本项目进行公开招标。项目资金来源自筹，请有兴趣的投标人参与投标。,吉林市昌邑区财政局,吉林省万力工程项目管理有限公司,,,
招标代理机构：吉林省万力工程项目管理有限公司,吉林省万力工程项目管理有限公司,,,,
长兴县公安局洗衣机的在线询价信息,长兴县公安局,,,,
西南大学-竞价公告,西南大学,,,,
为防止恶意报价，不能按报价单价执行供应的供应商，将限制其在采购必应专区对中铁六局路桥建设有限公司物贸分公司的交易行为。,中铁六局路桥建设有限公司,,,,
3、结算要求：本次采购为中铁六局路桥建设有限公司物贸分公司网络非集中采购，按中铁六局路桥建设有限公司物贸分公司网络竞价采购结算流程结算并支付。货款分期支付，结算完成后，甲方在收到乙方开具的正式的增值税专用发票后30日内，甲方按当月业主向其拨付的工程进度款比例向乙方支付货款，最高支付比例不得高于当月货款结算金额的70%，收到增值税专用发票60日内，甲方按当月业主向其拨付的工程进度款比例向乙方支付货款，最高支付比例不得高于当月货款结算金额的85%，剩余15%作为质保金。,中铁六局路桥建设有限公司,,,,
六盘水市钟山区场坝社区服务中心就辖区钢城大道沿线棚户区改造进行地调招标竞争性谈判，欢迎国内有地调资质的公司前来参与。,六盘水市钟山区场坝社区服务中心,,,,
北京大学-竞价公告,北京大学,,,,
舟山市公安局防爆装备一批的在线询价信息,舟山市公安局,,,,
中铁六局石家庄公司曲港高速项目部平赞高速跨石太铁路立交桥工程墩身钢模板3采购,中铁六局石家庄公司,,,,
神华国能（神东电力）集团公司（以下简称“招标人”）委托中国神华国际工程有限公司（以下简称“招标代理机构”），采用公开招标、资格后审方式邀请有兴趣的合格投标人（以下简称“投标人”）就神东电力有限责任公司物资管理中心-五彩湾电厂石灰石采购递交密封的有竞争性的投标文件。,中国神华国际工程有限公司,神华国能（神东电力）集团公司,,,
1、项目名称：五彩湾电厂石灰石采购,五彩湾电厂,,,,
招标代理机构：中国神华国际工程有限公司,中国神华国际工程有限公司,,,,
1.采购单位：成都工务大修段,成都工务大修段,,,,
南京信息工程大学-竞价公告,南京信息工程大学,,,,
武义县公安局光盘、移动硬盘等办案存储设备的在线询价信息,武义县公安局,,,,
中南大学-竞价公告,中南大学,,,,
：扶贫办政府采购项目采购需求.docx,扶贫办政府,,,,
中国铁路昆明局集团有限公司昆明车务段新购读书铺减速顶工况检测车项目公开询价公告,中国铁路昆明局集团有限公司,,,,
询价单位：中国铁路昆明局集团有限公司昆明车务段,中国铁路昆明局集团有限公司,,,,
本项目为中国铁路昆明局集团有限公司昆明车务段更新改造计划项目。,中国铁路昆明局集团有限公司,,,,
1.在中华人民共和国境内依法注册，具有独立法人或其他合法组织资格的企业单位，具备供货能力的生产厂家或代理商，代理商应具备生产厂家的授权，注册资金达200万元及以上，能提供近四年来为中国铁路集团公司供货使用的业绩证明。,中国铁路集团公司,,,,
3.无不良销售记录，提供的产品符合国家有关规定，未被国家、中国铁路总公司暂停或取消投标资格，并且不在昆明局集团有限公司暂停或停止采购期限内。,中国铁路总公司,昆明局集团有限公司,,,
4.满足国家、原铁道部、中国铁路总公司、行业生产的有关规定和资质。,中国铁路总公司,,,,
请有意供货商与中国铁路昆明局集团有限公司昆明车务段联系，并将询价函于2018年4月13日17时00分前传真或邮寄至联系人处（询价函格式请下载附件）。已在中国铁路昆明局集团有限公司物资设备商务平台注册的供方登录下载附件，尚未注册的供方如有意向参与，请与联系人索要询价函或办理供方注册手续后登录。,中国铁路昆明局集团有限公司,,,,
神华国能（神东电力）集团公司（以下简称“招标人”）委托中国神华国际工程有限公司（以下简称“招标代理机构”），采用公开招标、资格后审方式邀请有兴趣的合格投标人（以下简称“投标人”）就秦皇岛发电有限责任公司液氨采购项目递交密封的有竞争性的投标文件。,中国神华国际工程有限公司,神华国能（神东电力）集团公司,,,
1、项目名称：秦皇岛电厂2018年脱硝液氨采购,秦皇岛电厂,,,,
2018年4月10日上午10：00时通过中国拍卖行业协会网络拍卖平台（新版）公开拍卖下列标的：1、铁屑400吨；,中国拍卖行业协会,,,,
拍卖企业：山东信煜拍卖有限公司,山东信煜拍卖有限公司,,,,
安徽省白湖农场集团有限责任公司机电分公司2018年常规小农机更新（小四轮拖拉机、动力喷雾机等）采购项目招标二次公告,安徽省白湖农场集团有限责任公司,,,,
经集团公司批准，安徽省白湖农场集团有限责任公司机电分公司2018年常规小农机更新（小四轮拖拉机、动力喷雾机等）采购项目进行公开招标，欢迎符合条件的供应商前来报名参加。现就有关事项公告如下：,安徽省白湖农场集团有限责任公司,,,,
1、项目名称：安徽省白湖农场集团有限责任公司机电分公司2018年常规小农机更新（小四轮拖拉机、动力喷雾机等）采购项目,安徽省白湖农场集团有限责任公司,,,,
二、供应商资质要求：1、符合《中华人民共和国政府采购法》第二十二条规定的条件。,中华人民共和国政府,,,,
安徽省白湖农场集团有限责任公司招标办公室,安徽省白湖农场集团有限责任公司,,,,
中铁六局石家庄公司和邢一分部和邢工程采购等边角钢（18.3.14第一次发布，无人报价重新发布）,中铁六局石家庄公司,,,,
临海市人民政府大洋街道办事处格力空调机的在线询价信息,临海市人民政府大洋街道办事处,,,,
1.苏州市吴江城市建设开发有限公司的吴江区太湖新城人才公寓装修工程已经苏州市吴江区发展和改革委员会，以吴发改行审发[2018]2号批准建设。“资金核定表”（资金核定表编号：无）已经财政审核。工程所需资金来源是自筹现已落实。项目已具备招标条件，现对该项目进行公开招标。,苏州市吴江城市建设开发有限公司,,,,
2.江苏嘉加诚工程投资咨询有限公司（苏州市吴江区2016年度中介机构信用等级：A）受招标人委托具体负责本工程的招标事宜。,江苏嘉加诚工程投资咨询有限公司,,,,
（4）该项目实行代建制，中标单位须服从苏州市吴江项目建设管理有限公司的管理。,苏州市吴江项目建设管理有限公司,,,,
浙江省浦江中学理光DD5440C油印机的在线询价信息,浙江省浦江中学,,,,
中铁六局石家庄公司和邢一分部和邢工程采购不等边角钢（18.3.14第一次发布，无人报价重新发布）,中铁六局石家庄公司,,,,
正文内容：湛江机场公司电瓶（池）车采购竞价函,湛江机场,,,,
广东省机场管理集团有限公司湛江机场公司对其认可的供应商进行国内竞价，邀请合格应邀人就以下内容和有关服务提交应邀：一、竞价项目说明,广东省机场管理集团有限公司,,,,
12.*本项目最高限价为人民币60000元整（到货价，含税，事后不再增加任何费用），在系统平台上填写的投标报价须为此次竞价总价，填写单价参与竞价的视为无效。如报价文件所报价格（总价）超出本项目的限价，湛江机场公司将有权拒绝其报价；如报价文件所报价格（总价）恶意低于成本价，湛江机场公司将有权拒绝其报价。,湛江机场公司,,,,
1.应邀人需完成广东省机场管理集团有限公司湛江机场公司电瓶（池）车采购的设计、制造、运输、保险、交货、安装、调试、试运行及售后服务等工作，并提供符合用户要求的资料。,广东省机场管理集团有限公司,,,,
中山市中山纪念堂管理处10项物业租赁权公开拍卖项目拍卖公告,中山市中山纪念堂,,,,
中山市中山纪念堂管理处10项物业租赁权,中山市中山纪念堂,,,,
为推行政务公开，体现公开、公正、公平的办事原则，中山市康信拍卖有限公司于2018年4月23日上午10时30分在中山市公共资源交易中心按现状以增价方式公开拍卖以下标的，欢迎对下列标的感兴趣的企业法人及自然人前来竞投。现将有关事项通告如下：,中山市康信拍卖有限公司,,,,
10、拍卖佣金收取：拍卖成交的，买受人须向拍卖人支付按每个标的物成交租金总额5%的佣金作为拍卖佣金，于拍卖成交之日起3个工作日内向中山市康信拍卖有限公司支付。,中山市康信拍卖有限公司,,,,
中山市康信拍卖有限公司：88660819、18028309038萧生,中山市康信拍卖有限公司,,,,
核心要求：1.U盘品牌必须为闪迪、东芝或者金士顿。2.U盘内存实际必须为64G，3.0接口，转速不低于100M/S。3.U盘外观必须为全金属拉丝，颜色为银色，直插式。4.U盘包装要求（因图片在此处无法显示，有意向供应商，请联系黄小姐，电话：13631333455）。5.发票须开增值税专用发票。三、供应商资格要求1.在中国注册的企业法人（包括外商独资、中外合资、中外合作企业）或事业单位法人，具有独立承担民事责任的能力；2.报价人须具备不少于5年或以上持续与世界500强企业或白云机场系统成功合作案例（以提供至少1份真实合同原件为准）；3.所有的报价人需在广东省机场管理集团有限公司采购、招商管理网络平台,广东省机场管理集团有限公司,,,,
;;；汤始建华建材（苏州）有限公司；；组织以下采购需求；;，现公开邀请合格供应商报价。;;;;,汤始建华建材苏州有限公司,,,,
;；采购组织：汤始建华建材（苏州）有限公司；;;;;,汤始建华建材（苏州）有限公司,,,,
采购组织：合海橡塑装备有限公司,合海橡塑装备有限公司,,,,
合海橡塑装备有限公司就合海橡塑-铣刀询价单在交易中心进行招标采购，现公开邀请合格投标人进行网上电子投标。,合海橡塑装备有限公司,,,,
神华国能（神东电力）集团有限公司（以下简称“招标人”）委托中国神华国际工程有限公司（以下简称“招标代理机构”），采用公开招标、资格后审方式邀请有兴趣的合格投标人（以下简称“投标人”）就黄玉川煤矿主运输系统外委专业化运行工程招标项目递交密封的有竞争性的投标文件。,神华国能（神东电力）集团有限公司,中国神华国际工程有限公司,,,
中铁六局太原公司混凝土分公司恒口搅拌站润滑油采购,中铁六局太原公司混凝土分公司,,,,
单位名称：中铁六局集团太原铁路建设有限公司,中铁六局集团太原铁路建设有限公司,,,,
中共浦江县委宣传部数码相机的在线询价信息,中共浦江县委宣传部,,,,
盱眙县人民医院呼吸机询价采购报价表,盱眙县人民医院,,,,
安徽华茂纺织股份有限公司配套辅机采购招标书,安徽华茂纺织股份有限公司,,,,
根据生产需要，安徽华茂纺织股份有限公司八分厂拟采购前纺辅机一批，特进行公开招标，现将有关事项说明如下：,安徽华茂纺织股份有限公司,,,,
1、投标邀请：（1）有意向的合格投标人可以从安徽华茂纺织股份有限公司招标办得到进一步的信息和查阅招标文件。,安徽华茂纺织股份有限公司,,,,
（2）本项目报名截止日为2018年4月9日，所有投标书应于本项目开标时间之前递交到安徽华茂纺织股份有限公司招标办公室。,安徽华茂纺织股份有限公司,,,,
（4）招（议）标单位：安徽华茂纺织股份有限公司招标办公室,安徽华茂纺织股份有限公司,,,,
安徽华茂纺织股份有限公司招标办公室,安徽华茂纺织股份有限公司,,,,
;;；汤始建华建材（上海）有限公司；；组织以下采购需求；;，现公开邀请合格供应商报价。;;;;,汤始建华建材（上海）有限公司,,,,
;；采购组织：汤始建华建材（上海）有限公司；;;;;,汤始建华建材（上海）有限公司,,,,
招标单位：十总镇二爻社区居民委员会,十总镇二爻社区居民委员会,,,,
十总镇二爻社区居民委员会：,十总镇二爻社区居民委员会,,,,
濉溪县南坪中心学校大王小学厕所等零星工程,濉溪县南坪中心学校大王小学,,,,
一、邀请单位：1、安徽天富建筑工程有限公司,安徽天富建筑工程有限公司,,,,
2、淮北正元建筑工程有限公司,淮北正元建筑工程有限公司,,,,
;;；建华建材（沧州）有限公司；；组织以下采购需求；;，现公开邀请合格供应商报价。;;;;,建华建材（沧州）有限公司,,,,
;；采购组织：建华建材（沧州）有限公司；;;;;,建华建材（沧州）有限公司,,,,
东阳市红十字会台式电脑的在线询价信息,东阳市红十字会,,,,
安徽浙苏服装水洗有限公司房、地产，机器设备及两台车辆拍卖会,安徽浙苏服装水洗有限公司,,,,
拍卖企业：安徽中瑞拍卖有限公司,安徽中瑞拍卖有限公司,,,,
;;；广东建华管桩有限公司；；组织以下采购需求；;，现公开邀请合格供应商报价。;;;;,广东建华管桩有限公司,,,,
;；采购组织：广东建华管桩有限公司；;;;;,广东建华管桩有限公司,,,,
招标代理机构：陕西万隆金剑工程管理咨询有限公司,陕西万隆金剑工程管理咨询有限公司,,,,
的投标神华国能（神东电力）集团公司（以下简称“招标人”）委托中国神华国际工程有限公司（以下简称“招标代理机构”），采用公开招标、资格后审方式邀请有兴趣的合格投标人（以下简称“投标人”）就敏东一矿DM-1200/10型煤矿用膜分离制氮装置维修项目递交密封的有竞争性文件。,神华国能（神东电力）集团公司,中国神华国际工程有限公司,,,
中国人民武装警察边防部队后勤训练基地烘焙产品原料定点采购单位采购项目,中国人民武装警察边防部队,,,,
公告概要：根据《中华人民共和国政府采购法》等有关规定，现对中国人民武装警察部队后勤训练基地烘焙产品原料定点采购单位采购项目进行询价招标，欢迎合格的供应商前来投标。,中国人民武装警察部队,,,,
项目名称：中国人民武装警察部队后勤训练基地烘焙产品原料定点采购单位采购项目,中国人民武装警察部队,,,,
濉溪县韩村中心学校小湖学校围墙等零星工程,濉溪县韩村中心学校小湖学校,,,,
一、邀请单位：1、安徽旭光建设工程有限公司,安徽旭光建设工程有限公司,,,,
2、砀山县诚信建筑有限公司,砀山县诚信建筑有限公司,,,,
3、河南九一建设工程有限公司,河南九一建设工程有限公司,,,,
神华国能（神东电力）集团公司（以下简称“招标人”）委托中国神华国际工程有限公司（以下简称“招标代理机构”），采用公开招标、资格后审方式邀请有兴趣的合格投标人（以下简称“投标人”）就沙吉海煤矿锚索采购递交密封的有竞争性的投标文件。,神华国能（神东电力）集团公司,中国神华国际工程有限公司,,,
3、招标范围：沙吉海煤矿锚索采购（详见明细）,沙吉海煤矿,,,,
我校医院的2018年教职工体检服务采购项目，经批准委托广东金扬教育采购中心有限公司采用公开招标的方式进行采购。现将相关信息公告如下：,广东金扬教育采购中心有限公司,,,,
八、其他事项见：广东省政府采购网公告,广东省政府,,,,
